Rank,DisplayName,Balance,Trades,ProductsTraded,DailyPnl,TotalPnl
493,Brokegains,25418.0,7,"YM, MNQ",-497.0,418.0
494,GPH,25412.5,10,ES,412.5,412.5
495,Bill Crosby,25406.0,28,"MES, MNQ",280.0,406.0
496,wchoi,25387.5,10,ES,0.0,387.5
497,ZenTrader,25384.5,41,MNQ,0.0,384.5
498,JinY07,25372.5,5,"ES, MES",-875.0,372.5
499,draftman,25357.0,2,MGC,0.0,357.0
500,Aravinthan,25347.0,10,MNQ,0.0,347.0
501,Conrad,25338.75,10,"MES, ES",0.0,338.75
502,Trader,25325.0,10,"SIL, MGC",-8890.0,325.0
503,Jabul ADGM,25324.0,1,MGC,-1620.0,324.0
504,Coconut Capital,25315.0,19,"MGC, SIL",0.0,315.0
505,cia2026,25315.0,5,MNQ,0.0,315.0
506,MALINA,25305.0,1,YM,535.0,305.0
507,Jonathan Castellanos,25290.5,21,"MNQ, ES",0.0,290.5
508,Ankit,25278.0,17,"MGC, SIL",0.0,278.0
509,Carla,25277.0,32,"ES, MBT",-382.5,277.0
510,kim,25269.0,5,"CL, SIL",972.0,269.0
511,BDGXXX,25262.5,1,ES,387.5,262.5
512,M_S_Vishnu,25253.0,4,MGC,0.0,253.0
513,Alfonso Cabieles ,25250.0,13,"CL, PA",0.0,250.0
514,SP,25250.0,1,MES,250.0,250.0
515,Henry Appiah Asiamah,25237.5,3,6E,237.5,237.5
516,Omar-K-1,25234.5,57,MNQ,745.5,234.5
517,IoFlemming,25233.5,2,MNQ,0.0,233.5
518,SEA_SURAJKARTIK GIRISH PATEL,25228.5,51,MBT,0.0,228.5
519,OptionstraderYYC,25221.25,6,MES,0.0,221.25
520,AK1215,25212.5,2,MES,0.0,212.5
521,LittleDipper,25212.5,2,ES,0.0,212.5
522,HDaleDazzler,25211.5,1,MBT,0.0,211.5
523,Kiarie,25203.0,19,"MGC, CL",229.0,203.0
524,ChenuraDulwan,25193.0,35,"MCL, SIL",0.0,193.0
525,Dloc403,25191.5,8,"MCL, 1OZ",0.0,191.5
526,Poonam Devi,25186.0,7,MGC,-324.0,186.0
527,AT,25182.5,27,"MBT, BFF",53.25,182.5
528,20Dan,25180.0,2,SIL,0.0,180.0
529,IFMG Trading,25180.0,2,CL,0.0,180.0
530,Anas,25179.25,14,"MES, MBT",-603.75,179.25
531,intriguing art,25175.0,14,ES,0.0,175.0
532,MasterChief,25175.0,2,ES,0.0,175.0
533,Ryan,25171.5,2,MBT,0.0,171.5
534,pitaking,25166.75,93,"MES, MNQ",387.75,166.75
535,Horse2026,25164.25,30,"6E, MBT",0.0,164.25
536,webbie57,25154.5,23,MNQ,0.0,154.5
537,Huntingdog,25153.0,16,MGC,0.0,153.0
538,Dragonfly Doji,25150.0,3,ES,-212.5,150.0
539,HJA,25147.0,4,"MGC, MNQ",0.0,147.0
540,Mr. Frank,25142.5,7,"MES, MNQ",-150.0,142.5
541,Davidmj81,25137.5,12,MNQ,251.5,137.5
542,lgz,25137.5,4,ES,0.0,137.5
543,Brad,25137.5,3,ES,-875.0,137.5
544,Saksham yadav,25134.5,1,MNQ,248.5,134.5
545,abbycmk,25131.5,10,"MNQ, MGC",0.0,131.5
546,Amir,25128.0,1,MGC,648.0,128.0
547,Nik,25125.5,12,"MES, MCL",0.0,125.5
548,Toxx,25125.0,45,"MGC, SIL",-7155.0,125.0
549,Rich,25120.0,2,RTY,0.0,120.0
550,Dbb,25120.0,1,MES,-172.5,120.0
551,JROC smc,25118.0,95,MGC,570.0,118.0
552,80:R T-raider,25116.22,29,"SIL, MNI",0.0,116.22
553,Sagheer,25113.0,2,MBT,0.0,113.0
554,MAY,25112.5,2,ES,0.0,112.5
555,Scrith,25111.25,14,"MBT, MET",0.0,111.25
556,James,25110.44,8,NIY,0.0,110.44
557,Leonardo Rodriguez,25109.5,1,MNQ,-248.5,109.5
558,Matheus Felipe,25093.5,23,"MNQ, MGC",0.0,93.5
559,Liubov G.,25074.25,23,"ES, MGC",0.0,74.25
560,Enzian,25073.5,34,"MGC, MNQ",0.0,73.5
561,AnnaV,25068.0,8,MNQ,0.0,68.0
562,dsmart,25066.5,4,"MNQ, MYM",0.0,66.5
563,Knight Trader,25066.25,4,MES,0.0,66.25
564,Sreenivas,25062.0,21,"MGC, GC",-3564.0,62.0
565,Philly333,25061.0,190,"SIL, MGC",-781.0,61.0
566,abdeladim raggani,25056.5,3,MNQ,0.0,56.5
567,Marco C,25053.0,7,"ES, MNQ",-875.0,53.0
568,Nathan,25050.0,5,CL,-4200.0,50.0
569,marsram,25048.75,12,MES,0.0,48.75
570,Flonny,25047.0,6,"MBT, M6E",0.0,47.0
571,macman,25046.0,10,MGC,0.0,46.0
572,thaddydady,25041.15,6,"MES, 6E",-258.75,41.15
573,Erald,25040.5,122,"MNQ, MGC",1491.0,40.5
574,Monisha,25037.5,3,"ES, ZS",112.5,37.5
575,Mohamed Hussien,25037.5,1,ES,37.5,37.5
576,roblesh,25035.5,10,MNQ,0.0,35.5
577,Hungyi,25033.5,6,MNQ,-1491.0,33.5
578,BPWYss,25026.0,13,MGC,0.0,26.0
579,Stefano,25023.0,2,MGC,0.0,23.0
580,Dhruv Damidi,25016.0,6,MNQ,0.0,16.0
581,LeveragedLoony,25012.5,1,ES,-875.0,12.5
582,Ram,25012.0,3,MNQ,0.0,12.0
583,Kal03,25007.08,17,"MNQ, ES",0.0,7.08
584,abdullalelo,25007.05,40,"SIL, MGC",-8790.0,7.05
585,Dan Long,25003.0,2,MBT,0.0,3.0
586,Oliveya,25000.0,2,CL,0.0,0.0
587,SUE B,24999.55,2,MET,0.0,-0.45
588,MycAarav,24999.0,2,MNQ,0.0,-1.0
589,MikeRR,24999.0,2,MNQ,0.0,-1.0
590,Dineshz001,24994.5,14,"MNQ, MES",0.0,-5.5
591,justheretolearn,24993.0,34,MBT,0.0,-7.0
592,driver501,24990.5,6,MBT,0.0,-9.5
593,DMarti,24990.0,2,"HE, LE",1600.0,-10.0
594,Kasper9219,24987.0,26,MNQ,0.0,-13.0
595,luu,24986.0,1,MNQ,497.0,-14.0
596,Pops,24985.0,2,MNQ,0.0,-15.0
597,zhenliya,24985.0,2,6A,0.0,-15.0
598,Train1234,24975.0,4,ES,0.0,-25.0
599,Nabil @gotluckier,24975.0,8,SIL,0.0,-25.0
600,SimpHater69,24962.5,2,MES,0.0,-37.5
601,Avolpe,24962.5,1,ES,-37.5,-37.5
602,ticknor,24956.25,1,MES,86.25,-43.75
603,Huksta27,24953.0,2,MNQ,0.0,-47.0
604,Jimbob,24950.0,1,MNQ,-1242.5,-50.0
605,Vishnu,24948.0,6,MGC,0.0,-52.0
606,CatalystParita,24935.0,6,MNQ,0.0,-65.0
607,Donniko,24931.0,59,"MNQ, ES",0.0,-69.0
608,SabinaSuleyman,24930.0,32,"MYM, MNQ",0.0,-70.0
609,LeNa8,24925.0,5,"6E, 6A",0.0,-75.0
610,Gcon8,24910.5,2,"ES, MCL",-89.5,-89.5
611,Kunal Hanji,24892.0,11,"MGC, MBT",0.0,-108.0
612,Ivander Wilson,24891.0,7,"MNQ, MGC",-1890.5,-109.0
613,bayrka,24890.0,1,MGC,2916.0,-110.0
614,asok,24878.5,2,MNQ,0.0,-121.5
615,Truman,24878.0,1,MGC,324.0,-122.0
616,BreTrades,24875.0,28,ES,0.0,-125.0
617,roland,24872.5,1,MES,-172.5,-127.5
618,Aryan Kumar,24871.85,5,"ES, ZW",-328.15,-128.15
